Application ; Mapping ; Mode ; Communication % ; Timing error % ; Power error % ; Energy error %
CNN ; [[1], [1], [1], [1]] ; CG ; 2 ; -0.17 ; -4.54 ; -4.70 ; 
CNN ; [[2], [1], [1], [1]] ; P ; 33 ; 0.13 ; -4.09 ; -3.97 ; 
CNN ; [[2], [1], [1], [1]] ; CG ; 33 ; 0.13 ; 1.35 ; 1.48 ; 
CNN ; [[2], [3], [1], [4]] ; P ; 66 ; -0.16 ; -7.03 ; -7.18 ; 
CNN ; [[2], [3], [1], [4]] ; CG ; 66 ; 0.33 ; 0.50 ; 0.83 ; 
CNN ; [[1, 1, 1, 1, 1], [1], [1], [1]] ; P ; 2 ; 0.43 ; -3.84 ; -3.43 ; 
CNN ; [[1, 1, 1, 1, 1], [1], [1], [1]] ; CG ; 2 ; 0.44 ; -1.52 ; -1.09 ; 
CNN ; [[1, 2, 3, 4, 5], [1], [1], [1]] ; P ; 52 ; -0.40 ; -4.98 ; -5.36 ; 
CNN ; [[1, 2, 3, 4, 5], [1], [1], [1]] ; CG ; 52 ; -0.03 ; -4.94 ; -4.97 ; 
CNN ; [[2, 3, 4, 5, 6], [7], [1], [1]] ; P ; 37 ; -1.45 ; -5.84 ; -7.21 ; 
CNN ; [[2, 3, 4, 5, 6], [7], [1], [1]] ; CG ; 37 ; -1.20 ; -4.87 ; -6.01 ; 
